"","taphonomyValues","startAge","days"
"88",0.575469992547484,100,10
"89",0.547810852097535,100,10
"90",0.553692904899625,100,10
"91",0.543353432543855,100,10
"92",0.538007980530924,100,10
"93",0.503173315415734,100,10
"94",0.524899861317444,100,10
"95",0.546725828398154,100,10
"96",0.558206458464176,100,10
"97",0.544991109341652,100,10
"98",0.554505241066821,100,10
"99",0.542096282172711,100,10
"100",0.597763802366853,100,10
"101",0.523491414276781,100,10
"102",0.573408546432083,100,10
"103",0.549891448057571,100,10
"104",0.543291423101659,100,10
"105",0.550710925721692,100,10
"106",0.531966696620569,100,10
"107",0.557813749153891,100,10
"108",0.570135539233923,100,10
"109",0.538240290777819,100,10
"110",0.527045263688341,100,10
"111",0.548538451465346,100,10
"112",0.541281835348516,100,10
"113",0.512460677721424,100,10
"114",0.560085574605484,100,10
"115",0.562141136654391,100,10
"116",0.542319859840574,100,10
"117",0.566022533745215,100,10
"118",0.55773552325814,100,10
"119",0.518822820436453,100,10
"120",0.553345124337027,100,10
"121",0.561405426635208,100,10
"122",0.567430738891229,100,10
"123",0.514760729815861,100,10
"124",0.571486674366082,100,10
"125",0.580081666330225,100,10
"126",0.518973786957073,100,10
"127",0.578219500897559,100,10
"128",0.528369581406293,100,10
"129",0.517180711324014,100,10
"130",0.536594083015623,100,10
"131",0.541344092446556,100,10
"132",0.530102884128702,100,10
"133",0.550620359417768,100,10
"134",0.528055937107767,100,10
"135",0.546121897798447,100,10
"136",0.584378657767447,100,10
"137",0.530486758735441,100,10
"138",0.526265864001802,100,10
"139",0.544607376604768,100,10
"140",0.553845199805091,100,10
"141",0.548135633106654,100,10
"142",0.560648157550426,100,10
"143",0.536731792187961,100,10
"144",0.532762987484522,100,10
"145",0.54947511539978,100,10
"146",0.587520399178429,100,10
"147",0.577672141948142,100,10
"148",0.550141633880364,100,10
"149",0.551325600088125,100,10
"150",0.542994743230075,100,10
"151",0.56313816899463,100,10
"152",0.576764410574295,100,10
"153",0.530257873254925,100,10
"154",0.536939014631838,100,10
"155",0.528016299049527,100,10
"156",0.535501400644548,100,10
"157",0.549242949168554,100,10
"158",0.556004892317315,100,10
"159",0.557700593903715,100,10
"160",0.545857935521734,100,10
"161",0.556780077780755,100,10
"162",0.544863374276512,100,10
"163",0.539407847994497,100,10
"164",0.504633047782645,100,10
"165",0.519870900734104,100,10
"166",0.550909269646743,100,10
"167",0.537175882870437,100,10
"168",0.551862099544227,100,10
"169",0.528908465576645,100,10
"170",0.555734607822075,100,10
"171",0.570104559297224,100,10
"172",0.579210731704849,100,10
