"","taphonomyValues","decayRate","startAge"
"445",0.517335100250961,5.5e-05,500
"446",0.512266872146444,5.5e-05,500
"447",0.512446102604606,5.5e-05,500
"448",0.510545856915818,5.5e-05,500
"449",0.507036572764409,5.5e-05,500
"450",0.509361368057763,5.5e-05,500
"451",0.517974722484087,5.5e-05,500
"452",0.526118075655942,5.5e-05,550
"453",0.518151554298958,5.5e-05,550
"454",0.514166757917488,5.5e-05,550
"455",0.508627281423343,5.5e-05,550
"456",0.511161061281926,5.5e-05,550
"457",0.512967315493332,5.5e-05,550
"458",0.507158381476224,5.5e-05,550
"459",0.511943801288365,5.5e-05,550
"460",0.505797843694949,5.5e-05,550
"461",0.512116343512296,5.5e-05,550
"462",0.514163124767112,5.5e-05,550
"463",0.508317542267368,5.5e-05,550
"464",0.514057254533733,5.5e-05,550
"465",0.52273605603402,5.5e-05,550
"466",0.509597522014559,5.5e-05,550
"467",0.515645632954412,5.5e-05,550
"468",0.515775720885688,5.5e-05,550
"469",0.513974885464269,5.5e-05,550
"470",0.522372819306768,5.5e-05,550
"471",0.513948050443261,5.5e-05,550
"472",0.515301483760255,5.5e-05,550
"473",0.518103773899099,5.5e-05,550
"474",0.515131611829415,5.5e-05,550
"475",0.5094275606495,5.5e-05,550
"476",0.521759874260165,5.5e-05,550
"477",0.515708582909776,5.5e-05,550
"478",0.519733454255614,5.5e-05,550
"479",0.513286834852833,5.5e-05,550
"480",0.510577015056112,5.5e-05,550
"481",0.510689704796895,5.5e-05,550
"482",0.508620614714032,5.5e-05,550
"483",0.517676165430567,5.5e-05,550
"484",0.510694959378118,5.5e-05,550
"485",0.514222199520892,5.5e-05,550
"486",0.510719187010439,5.5e-05,550
"487",0.50965865343203,5.5e-05,550
"488",0.510388145576205,5.5e-05,550
"489",0.515551769946911,5.5e-05,550
"490",0.516350874738009,5.5e-05,550
"491",0.515222057773734,5.5e-05,550
"492",0.519885382241202,5.5e-05,550
"493",0.50755113520441,5.5e-05,550
"494",0.510888305221099,5.5e-05,550
"495",0.514168613926484,5.5e-05,550
"496",0.513837505370631,5.5e-05,550
"497",0.516759709513164,5.5e-05,550
"498",0.5228200594076,5.5e-05,550
"499",0.515299651988233,5.5e-05,550
"500",0.521732838761979,5.5e-05,550
"501",0.524456958729842,5.5e-05,550
"502",0.515998393897159,5.5e-05,600
"503",0.539795486786593,5.5e-05,600
"504",0.5076032366729,5.5e-05,600
"505",0.499534344547678,5.5e-05,600
"506",0.515667830754082,5.5e-05,600
"507",0.509467996837938,5.5e-05,600
"508",0.520656836014072,5.5e-05,600
"509",0.527867700458549,5.5e-05,600
"510",0.517544324647286,5.5e-05,600
"511",0.512603829068547,5.5e-05,600
"512",0.524313693562243,5.5e-05,600
"513",0.511121789690839,5.5e-05,600
"514",0.516099577327068,5.5e-05,600
"515",0.511712795589452,5.5e-05,600
"516",0.51942189251458,5.5e-05,600
"517",0.517228520815248,5.5e-05,600
"518",0.507434414290838,5.5e-05,600
"519",0.518639615859936,5.5e-05,600
"520",0.522711235003868,5.5e-05,600
"521",0.515824536980523,5.5e-05,600
"522",0.51630836556323,5.5e-05,600
"523",0.509678252833471,5.5e-05,600
"524",0.525881626599859,5.5e-05,600
"525",0.514632711688472,5.5e-05,600
"526",0.517434773427183,5.5e-05,600
"527",0.521040916208586,5.5e-05,600
"528",0.513016051147057,5.5e-05,600
"529",0.513830109136429,5.5e-05,600
"530",0.514315213710413,5.5e-05,600
"531",0.510548243280054,5.5e-05,600
"532",0.51090501117182,5.5e-05,600
"533",0.509419758125953,5.5e-05,600
"534",0.506610805069606,5.5e-05,600
"535",0.516419730150664,5.5e-05,600
