"","startAges","decayLevels","states","decayRates","decayRateRounded"
"33334",500,1,0,0.00882230047136545,0.009
"33335",500,1,1,0.0110740708187222,0.011
"33336",500,1,0,0.0188928935676813,0.019
"33337",500,1,0,0.011101309210062,0.011
"33338",500,1,0,0.00110724254045635,0.001
"33339",500,1,0,0.0121004264801741,0.012
"33340",500,1,1,0.0142555302008986,0.014
"33341",500,1,0,0.000947095511946827,0.001
"33342",500,1,0,0.0154734551906586,0.015
"33343",500,1,0,0.00591644598171115,0.006
"33344",500,1,1,0.00476487120613456,0.005
"33345",500,1,0,0.00299649615772069,0.003
"33346",500,1,1,0.00905190035700798,0.009
"33347",500,1,0,0.000292323529720306,0
"33348",500,1,0,0.0116782514378428,0.012
"33349",500,1,0,0.00202018092386425,0.002
"33350",500,1,1,0.0162857249379158,0.016
"33351",500,1,0,0.0176412276923656,0.018
"33352",500,1,0,0.00205214251764119,0.002
"33353",500,1,0,0.0003185547539033,0
"33354",500,1,1,0.0108199305832386,0.011
"33355",500,1,0,0.00224787229672074,0.002
"33356",500,1,0,0.00459573324769735,0.005
"33357",500,1,1,0.000213136678212322,0
"33358",500,1,0,0.00925934966653585,0.009
"33359",500,1,0,0.0157812908291817,0.016
"33360",500,1,0,0.00598071096464992,0.006
"33361",500,1,0,0.0143956700339913,0.014
"33362",500,1,0,0.00971586164087057,0.01
"33363",500,1,1,0.011424582451582,0.011
"33364",500,1,1,0.0198194738477468,0.02
"33365",500,1,1,0.0152832735329866,0.015
"33366",500,1,1,0.00435010250657797,0.004
"33367",500,1,0,0.0107725458219647,0.011
"33368",500,1,1,0.017031867057085,0.017
"33369",500,1,1,0.00659141642972827,0.007
"33370",500,1,1,0.014897832646966,0.015
"33371",500,1,0,0.0070506832562387,0.007
"33372",500,1,1,0.00718315318226814,0.007
"33373",500,1,0,0.014405787922442,0.014
"33374",500,1,0,0.0158280525356531,0.016
"33375",500,1,1,0.0102475751191378,0.01
"33376",500,1,1,0.0192237589508295,0.019
"33377",500,1,1,0.00283917668275535,0.003
"33378",500,1,0,0.00386853003874421,0.004
"33379",500,1,1,0.012993760406971,0.013
"33380",500,1,0,0.0140193868428469,0.014
"33381",500,1,1,0.0186123512685299,0.019
"33382",500,1,1,0.0135673806071281,0.014
"33383",500,1,1,0.00748741254210472,0.007
"33384",500,1,0,0.0186377801001072,0.019
"33385",500,1,0,0.019609373062849,0.02
"33386",500,1,1,0.0156112303957343,0.016
"33387",500,1,0,0.00947155803442001,0.009
"33388",500,1,1,0.0115703092887998,0.012
"33389",500,1,1,0.0106316329911351,0.011
"33390",500,1,1,0.00257473206147552,0.003
"33391",500,1,0,0.00136273505631834,0.001
"33392",500,1,1,0.0147384656593204,0.015
"33393",500,1,1,0.0114279873669147,0.011
"33394",500,1,0,0.014154639095068,0.014
"33395",500,1,0,0.00716508040204644,0.007
"33396",500,1,0,0.0182248242199421,0.018
"33397",500,1,1,0.0181008279323578,0.018
"33398",500,1,0,0.0129080871120095,0.013
"33399",500,1,0,0.0150322234258056,0.015
"33400",500,1,1,0.0144011424854398,0.014
"33401",500,1,1,0.0138425957411528,0.014
"33402",500,1,0,0.0174483750015497,0.017
"33403",500,1,1,0.0113770123571157,0.011
"33404",500,1,1,0.00677707139402628,0.007
"33405",500,1,1,0.0176149811595678,0.018
"33406",500,1,1,0.010240638628602,0.01
"33407",500,1,0,0.0136944064870477,0.014
"33408",500,1,0,0.00151119090151042,0.002
"33409",500,1,0,0.0185608323663473,0.019
"33410",500,1,0,0.00491964956745505,0.005
"33411",500,1,1,0.015167273581028,0.015
"33412",500,1,0,0.00705946004018188,0.007
"33413",500,1,0,0.0132556166499853,0.013
"33414",500,1,0,0.00906847603619099,0.009
"33415",500,1,0,0.00552435964345932,0.006
"33416",500,1,1,0.00797703210264444,0.008
"33417",500,1,0,0.00269614346325397,0.003
"33418",500,1,0,0.012427581474185,0.012
"33419",500,1,1,0.0178767368197441,0.018
"33420",500,1,1,0.0197657328099012,0.02
"33421",500,1,0,0.00151610397733748,0.002
"33422",500,1,0,0.0175377950072289,0.018
"33423",500,1,1,0.00541771808639169,0.005
"33424",500,1,1,0.00567965488880873,0.006
"33425",500,1,0,0.00240713288076222,0.002
"33426",500,1,0,0.0125596988946199,0.013
"33427",500,1,0,0.00928107369691133,0.009
"33428",500,1,1,0.00356177589856088,0.004
"33429",500,1,0,0.0193304512649775,0.019
"33430",500,1,0,0.0101186595857143,0.01
"33431",500,1,0,0.0179910659790039,0.018
"33432",500,1,0,0.00911404099315405,0.009
"33433",500,1,0,0.0134055940434337,0.013
"33434",500,1,0,0.0113426679745317,0.011
"33435",500,1,0,0.012351511977613,0.012
"33436",500,1,1,0.00178162916563451,0.002
"33437",500,1,0,0.010206812992692,0.01
"33438",500,1,0,0.000114621892862488,0
"33439",500,1,0,0.00574800046160817,0.006
"33440",500,1,0,0.00584173668175936,0.006
"33441",500,1,0,0.00673817098140717,0.007
"33442",500,1,1,0.0167841836810112,0.017
"33443",500,1,0,0.00476859603077173,0.005
"33444",500,1,0,0.0175603795796633,0.018
"33445",500,1,1,0.00102859211619943,0.001
"33446",500,1,1,0.0178021043539047,0.018
"33447",500,1,0,0.0155931850895286,0.016
"33448",500,1,0,0.0123978480696678,0.012
"33449",500,1,1,0.00354567565955222,0.004
"33450",500,1,0,0.0128414761275053,0.013
"33451",500,1,0,0.0125032523646951,0.013
"33452",500,1,0,0.00785238388925791,0.008
"33453",500,1,0,0.0123647535219789,0.012
"33454",500,1,1,0.0111497594043612,0.011
"33455",500,1,0,0.00600540498271585,0.006
"33456",500,1,1,0.000191355298738927,0
"33457",500,1,0,0.0092161875218153,0.009
"33458",500,1,1,0.0176698844879866,0.018
"33459",500,1,1,0.00949891936033964,0.009
"33460",500,1,1,0.0146441841498017,0.015
"33461",500,1,1,0.019637368619442,0.02
"33462",500,1,1,0.00353868794627488,0.004
"33463",500,1,1,0.00580780347809196,0.006
"33464",500,1,1,0.0173822119832039,0.017
"33465",500,1,1,0.00754220644012094,0.008
"33466",500,1,1,0.00488496199250221,0.005
"33467",500,1,0,0.0112201338633895,0.011
"33468",500,1,0,0.0049215042963624,0.005
"33469",500,1,0,0.0111994603648782,0.011
"33470",500,1,0,0.0155258039012551,0.016
"33471",500,1,1,0.0175336580723524,0.018
"33472",500,1,1,0.00746280839666724,0.007
"33473",500,1,0,0.00945896841585636,0.009
"33474",500,1,1,0.0144225377589464,0.014
"33475",500,1,1,0.0150511711835861,0.015
"33476",500,1,0,0.0185128320008516,0.019
"33477",500,1,1,0.0178793035447598,0.018
"33478",500,1,1,0.0136680947616696,0.014
"33479",500,1,0,0.0164667721837759,0.016
"33480",500,1,0,0.00646970514208078,0.006
"33481",500,1,1,0.00705670984461904,0.007
"33482",500,1,0,0.017509950324893,0.018
"33483",500,1,0,0.00384651706553996,0.004
"33484",500,1,1,0.00701093906536698,0.007
"33485",500,1,0,0.00244178576394916,0.002
"33486",500,1,1,0.00785215850919485,0.008
"33487",500,1,1,0.00889056175947189,0.009
"33488",500,1,0,0.00652418751269579,0.007
"33489",500,1,1,0.0089888172224164,0.009
"33490",500,1,0,0.0136442855000496,0.014
"33491",500,1,0,0.0189318470656872,0.019
"33492",500,1,1,0.00618551997467875,0.006
"33493",500,1,0,0.0182662103325129,0.018
"33494",500,1,0,0.0105969030410051,0.011
"33495",500,1,0,0.00442019710317254,0.004
"33496",500,1,0,0.00396790308877826,0.004
"33497",500,1,0,0.00308988802134991,0.003
"33498",500,1,1,0.00957673415541649,0.01
"33499",500,1,1,0.0113672269508243,0.011
"33500",500,1,0,0.0155401322990656,0.016
"33501",500,1,0,0.00839249696582556,0.008
"33502",500,1,0,0.00609613815322518,0.006
"33503",500,1,1,0.0173651613295078,0.017
"33504",500,1,0,0.0186707824468613,0.019
"33505",500,1,1,0.0122543564066291,0.012
"33506",500,1,1,0.00719365430995822,0.007
"33507",500,1,0,0.0172926858067513,0.017
"33508",500,1,1,0.0113197397440672,0.011
"33509",500,1,1,0.0153261665254831,0.015
"33510",500,1,1,0.00479945307597518,0.005
"33511",500,1,1,0.00283191353082657,0.003
"33512",500,1,1,0.00705097615718842,0.007
"33513",500,1,0,0.0174358282238245,0.017
"33514",500,1,1,0.0190971568226814,0.019
"33515",500,1,1,0.0114336656406522,0.011
"33516",500,1,1,0.00257377349771559,0.003
"33517",500,1,1,0.00343769835308194,0.003
"33518",500,1,1,0.0057894573546946,0.006
"33519",500,1,0,0.00545690441504121,0.005
"33520",500,1,0,0.00880786962807178,0.009
"33521",500,1,1,0.00469608651474118,0.005
"33522",500,1,0,0.00155216793064028,0.002
"33523",500,1,1,0.00736137386411428,0.007
"33524",500,1,1,0.011193978600204,0.011
"33525",500,1,0,0.0189117286354303,0.019
"33526",500,1,1,0.0158560629934072,0.016
"33527",500,1,1,0.0186563022434711,0.019
"33528",500,1,0,0.00918622687458992,0.009
"33529",500,1,1,0.0176533609628677,0.018
"33530",500,1,0,0.00654558232054114,0.007
"33531",500,1,0,0.0063395225442946,0.006
"33532",500,1,0,0.00776448380202055,0.008
"33533",500,1,0,0.00462734373286366,0.005
"33534",500,1,1,0.0054347743280232,0.005
"33535",500,1,1,0.0158098060637712,0.016
"33536",500,1,0,0.0140838120132685,0.014
"33537",500,1,1,0.0169381629675627,0.017
"33538",500,1,1,0.0183398630470037,0.018
"33539",500,1,0,0.00439962511882186,0.004
"33540",500,1,0,0.0172742903232574,0.017
"33541",500,1,1,0.00103983131702989,0.001
"33542",500,1,0,0.00727277295663953,0.007
"33543",500,1,0,0.0103922933340073,0.01
"33544",500,1,0,0.0198740512132645,0.02
"33545",500,1,0,0.019141698256135,0.019
"33546",500,1,1,0.0170118920505047,0.017
"33547",500,1,1,0.00483849598094821,0.005
"33548",500,1,0,0.00670812930911779,0.007
"33549",500,1,0,0.0127560449764132,0.013
"33550",500,1,0,0.000205818461836316,0
"33551",500,1,1,0.00280314730480313,0.003
"33552",500,1,0,0.00114598148502409,0.001
"33553",500,1,1,0.0104505959898233,0.01
"33554",500,1,1,0.0130030354484916,0.013
"33555",500,1,0,0.0169755760580301,0.017
"33556",500,1,0,0.00119966175407171,0.001
"33557",500,1,1,0.00223618000745773,0.002
"33558",500,1,1,0.00411067204549909,0.004
"33559",500,1,0,0.000870654883328825,0.001
"33560",500,1,1,0.0163095742464066,0.016
"33561",500,1,1,0.0016060066409409,0.002
"33562",500,1,1,0.0124993985518813,0.012
"33563",500,1,0,0.00727081205695868,0.007
"33564",500,1,1,0.0150186624377966,0.015
"33565",500,1,0,0.00496899383142591,0.005
"33566",500,1,1,0.0165013484656811,0.017
"33567",500,1,1,0.00631666649132967,0.006
"33568",500,1,1,0.00511635607108474,0.005
"33569",500,1,1,0.000759743561502546,0.001
"33570",500,1,1,0.0135126877576113,0.014
"33571",500,1,1,0.0188462138175964,0.019
"33572",500,1,0,0.0133689111098647,0.013
"33573",500,1,1,0.00361403170973063,0.004
"33574",500,1,0,0.0194737464189529,0.019
"33575",500,1,0,0.00704639265313745,0.007
"33576",500,1,1,0.00438551930710673,0.004
"33577",500,1,0,0.00860477611422539,0.009
"33578",500,1,1,0.00823271740227938,0.008
"33579",500,1,1,0.00879053492099047,0.009
"33580",500,1,0,0.0120007982477546,0.012
"33581",500,1,0,0.0142771136015654,0.014
"33582",500,1,1,0.0050713187083602,0.005
"33583",500,1,0,0.00562578020617366,0.006
"33584",500,1,1,0.00569260166957974,0.006
"33585",500,1,0,0.00100255513098091,0.001
"33586",500,1,0,0.015594688244164,0.016
"33587",500,1,0,0.0161708947271109,0.016
"33588",500,1,0,0.00195990107022226,0.002
"33589",500,1,0,0.0031189052388072,0.003
"33590",500,1,1,0.00485180458053946,0.005
"33591",500,1,0,0.0191688686609268,0.019
"33592",500,1,1,0.0117319477722049,0.012
"33593",500,1,0,0.0126140238717198,0.013
"33594",500,1,1,0.014235433191061,0.014
"33595",500,1,0,0.0178395099937916,0.018
"33596",500,1,1,0.00426562363281846,0.004
"33597",500,1,1,0.0114072170108557,0.011
"33598",500,1,1,0.0119239566847682,0.012
"33599",500,1,1,0.00262134498916566,0.003
"33600",500,1,0,0.00608700513839722,0.006
"33601",500,1,0,0.0160613767802715,0.016
